title,city,date,stage,team_a,team_b,demand_a,demand_b,demand_score,tracked_teams
IR Iran vs New Zealand,Los Angeles,2026-06-16,Group Stage,IR Iran,New Zealand,15.0,15.0,30.0,0
France vs Senegal,New York/New Jersey,2026-06-16,Group Stage,France,Senegal,15.0,15.0,30.0,0
Austria vs Jordan,San Francisco Bay Area,2026-06-17,Group Stage,Austria,Jordan,15.0,15.0,30.0,0
England vs Croatia,Dallas,2026-06-17,Group Stage,England,Croatia,15.0,15.0,30.0,0
Ghana vs Panama,Toronto,2026-06-17,Group Stage,Ghana,Panama,15.0,15.0,30.0,0
Canada vs Qatar,Vancouver,2026-06-19,Group Stage,Canada,Qatar,15.0,15.0,30.0,0
South Africa vs South Korea,Monterrey,2026-06-25,Group Stage,South Africa,South Korea,15.0,15.0,30.0,1
Mexico vs South Korea,Guadalajara,2026-06-19,Group Stage,Mexico,South Korea,15.0,15.0,30.0,2
Germany vs Côte d'Ivoire,Toronto,2026-06-20,Group Stage,Germany,Côte d'Ivoire,15.0,15.0,30.0,0
Tunisia vs Japan,Monterrey,2026-06-21,Group Stage,Tunisia,Japan,15.0,15.0,30.0,0
Spain vs Saudi Arabia,Atlanta,2026-06-21,Group Stage,Spain,Saudi Arabia,15.0,15.0,30.0,0
Belgium vs IR Iran,Los Angeles,2026-06-21,Group Stage,Belgium,IR Iran,15.0,15.0,30.0,0
Uruguay vs Cabo Verde,Miami,2026-06-21,Group Stage,Uruguay,Cabo Verde,15.0,15.0,30.0,0
New Zealand vs Egypt,Vancouver,2026-06-22,Group Stage,New Zealand,Egypt,15.0,15.0,30.0,0
Norway vs Senegal,New York/New Jersey,2026-06-23,Group Stage,Norway,Senegal,15.0,15.0,30.0,0
Jordan vs Algeria,San Francisco Bay Area,2026-06-23,Group Stage,Jordan,Algeria,15.0,15.0,30.0,0
Portugal vs Uzbekistan,Houston,2026-06-23,Group Stage,Portugal,Uzbekistan,15.0,15.0,30.0,0
England vs Ghana,Boston,2026-06-23,Group Stage,England,Ghana,15.0,15.0,30.0,0
Switzerland vs Canada,Vancouver,2026-06-24,Group Stage,Switzerland,Canada,15.0,15.0,30.0,0
1K vs 3DEIJL,Kansas City,2026-07-04,Round of 32,1K,3DEIJL,15.0,15.0,30.0,0
