team,national_interest
USMNT,259.5
Mexico soccer,248.5
Brazil soccer,100.0
Argentina soccer,68.7
Canada soccer,63.6
France soccer,60.6
Germany soccer,57.4
Japan soccer,56.0
Portugal soccer,55.6
England soccer,54.7
Colombia soccer,50.6
Spain soccer,50.4
Australia soccer,33.9
Netherlands soccer,25.4
Ecuador soccer,21.8
South Korea soccer,21.6
Morocco soccer,19.4
Belgium soccer,17.3
Senegal soccer,15.8
Croatia soccer,14.0
Switzerland soccer,13.0
Uruguay soccer,11.6
