id,title,type,dateTime,dateTimeLocal,lowestPrice,highestPrice,listingCount,ticketsAvailable,url,performers,extractedAt,source,venue.id,venue.name,venue.city,venue.state
17174342,Spain vs Saudi Arabia - World Cup - Match 38 (Group H),international_soccer,2026-06-21T16:00:00,2026-06-21T12:00:00,1176.0,13745.0,262,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-21-12-pm/17174342,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}, {'id': '143104', 'name': 'Spain National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '288408', 'name': 'Saudi Arabia National Football Team', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,419590,Mercedes-Benz Stadium,Atlanta,GA
17176206,Belgium vs Iran - World Cup - Match 39 (Group G),international_soccer,2026-06-21T19:00:00,2026-06-21T12:00:00,978.0,53820.0,241,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-21-12-pm/17176206,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '1965703', 'name': 'Belgium National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1965146', 'name': 'Iran National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,487036,SoFi Stadium,Inglewood,CA
17164015,Uruguay vs Cape Verde - World Cup - Match 37 (Group H),international_soccer,2026-06-21T22:00:00,2026-06-21T18:00:00,691.0,9279.0,365,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-21-6-pm/17164015,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}, {'id': '264077', 'name': 'Uruguay National Football Team', 'type': 'soccer', 'primary': False}, {'id': '1965732', 'name': 'Cape Verde National Football Team', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,29,Hard Rock Stadium,Miami Gardens,FL
17249640,New Zealand vs Egypt - World Cup - Match 40 (Group G),international_soccer,2026-06-22T01:00:00,2026-06-21T18:00:00,452.0,5730.0,357,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-21-6-pm/17249640,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '88123', 'name': 'New Zealand National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1965638', 'name': 'Egypt National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,46,BC Place Stadium,Vancouver,BC
17385144,Argentina vs Austria - World Cup - Match 43 (Group J),international_soccer,2026-06-22T17:00:00,2026-06-22T12:00:00,2509.0,11116.0,151,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-22-12-pm/17385144,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '14653', 'name': 'Argentina National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1965712', 'name': 'Austria National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,4965,AT&T Stadium,Arlington,TX
17213261,France vs Iraq - World Cup - Match 42 (Group I),international_soccer,2026-06-22T21:00:00,2026-06-22T17:00:00,956.0,5157.0,263,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-22-5-pm/17213261,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '264428', 'name': 'France National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1965636', 'name': 'Iraq National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,330,Lincoln Financial Field,Philadelphia,PA
17269673,Norway vs Senegal - World Cup - Match 41 (Group I),international_soccer,2026-06-23T00:00:00,2026-06-22T20:00:00,873.0,6445.0,336,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-22-8-pm/17269673,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '1965711', 'name': 'Norway National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1965641', 'name': 'Senegal National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,1587,MetLife Stadium,East Rutherford,NJ
17171559,Jordan vs Algeria - World Cup - Match 44 (Group J),international_soccer,2026-06-23T03:00:00,2026-06-22T20:00:00,441.0,114505.0,445,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-22-8-pm/17171559,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '1965097', 'name': 'Jordan National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1965756', 'name': 'Algeria National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,58670,Levi's Stadium,Santa Clara,CA
17307558,Portugal vs Uzbekistan - World Cup - Match 47 (Group K),international_soccer,2026-06-23T17:00:00,2026-06-23T12:00:00,1555.0,10400.0,253,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-23-12-pm/17307558,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}, {'id': '1965714', 'name': 'Portugal Mens National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '804238', 'name': 'Uzbekistan National Football Team', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,41,Reliant Stadium,Houston,TX
17307504,England vs Ghana - World Cup - Match 45 (Group L),international_soccer,2026-06-23T20:00:00,2026-06-23T16:00:00,1403.0,5536.0,357,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-23-4-pm/17307504,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}, {'id': '261671', 'name': 'England National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '621925', 'name': 'Ghana National Football Team', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,33,Gillette Stadium,Foxborough,MA
17234770,Croatia vs Panama - World Cup - Match 46 (Group L),international_soccer,2026-06-23T23:00:00,2026-06-23T19:00:00,895.0,7577.0,115,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-23-7-pm/17234770,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}, {'id': '659664', 'name': 'Croatia National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '13938', 'name': 'Panama National Football Team', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,3013,BMO Field,Toronto,ON
17650353,Colombia vs DR Congo - World Cup - Match 48 (Group K),international_soccer,2026-06-24T02:00:00,2026-06-23T20:00:00,1028.0,11653.0,114,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-23-8-pm/17650353,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '11271', 'name': 'Colombia Mens National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1965642', 'name': 'DR Congo National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,1609315,Estadio Akron,Guadalajara,
17249641,Canada vs Switzerland - World Cup - Match 51 (Group B),international_soccer,2026-06-24T19:00:00,2026-06-24T12:00:00,808.0,4929.0,253,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-24-12-pm/17249641,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}, {'id': '311679', 'name': 'Canada Mens National Soccer Team', 'type': 'international_soccer', 'primary': False}, {'id': '1962129', 'name': 'Switzerland National Football Team', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,46,BC Place Stadium,Vancouver,BC
17248697,Qatar vs Bosnia & Herzegovina - World Cup - Match 52 (Group B),international_soccer,2026-06-24T19:00:00,2026-06-24T12:00:00,354.0,7286.0,620,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-24-12-pm/17248697,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '802620', 'name': 'Qatar National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '259556', 'name': 'Bosnia & Herzegovina National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,339,Lumen Field,Seattle,WA
17164016,Brazil vs Scotland - World Cup - Match 49 (Group C),international_soccer,2026-06-24T22:00:00,2026-06-24T18:00:00,2636.0,12494.0,237,True,https://seatgeek.com/fifa-world-cup-tickets/international-soccer/2026-06-24-6-pm/17164016,"[{'id': '10400', 'name': 'World Cup', 'type': 'international_soccer', 'primary': True}, {'id': '482124', 'name': 'Brazil National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1965717', 'name': 'Scotland National Football Team', 'type': 'international_soccer', 'primary': False}, {'id': '1966733', 'name': 'World Cup Group Stage', 'type': 'international_soccer', 'primary': False}]",2026-06-18T21:19:05.745Z,html,29,Hard Rock Stadium,Miami Gardens,FL
